"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-10-4-2.nlogo"
"Figure 10.1.1"
"04/22/2025 02:25:05:338 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","sensing-radius","investors-color","businesses-color","failed-businesses-color","[step]","mean [wealth] of investors","standard-deviation [wealth] of investors"
"9","25","0","5000","0.1","5","0","25","105","45","50","28599.02702309906","70829.34251381288"
"7","25","0","5000","0.1","5","0","25","105","45","50","31315.30945966449","84168.43754066553"
"1","25","0","5000","0.1","5","0","25","105","45","50","93863.67574904585","221840.4852300463"
"3","25","0","5000","0.1","5","0","25","105","45","50","49753.68665828466","119531.44808157175"
"6","25","0","5000","0.1","5","0","25","105","45","50","22291.726188175246","105679.59603852245"
"4","25","0","5000","0.1","5","0","25","105","45","50","27982.664230105627","92600.98676724605"
"2","25","0","5000","0.1","5","0","25","105","45","50","92261.85806050528","144971.34847936945"
"5","25","0","5000","0.1","5","0","25","105","45","50","33690.65799832678","104303.1399766246"
"8","25","0","5000","0.1","5","0","25","105","45","50","49192.69217083838","169902.86407063698"
"10","25","0","5000","0.1","5","0","25","105","45","50","68487.10368646724","177676.3140760012"
"15","25","0","5000","0.1","5","1","25","105","45","50","270247.39575739857","243967.4374866257"
"14","25","0","5000","0.1","5","1","25","105","45","50","326692.70747497375","237856.70337975965"
"16","25","0","5000","0.1","5","1","25","105","45","50","332939.9571673582","230476.75899538904"
"12","25","0","5000","0.1","5","1","25","105","45","50","306908.2543339829","251491.49859796642"
"11","25","0","5000","0.1","5","1","25","105","45","50","431960.4243101232","290500.73840774095"
"18","25","0","5000","0.1","5","1","25","105","45","50","322714.64297536144","263462.26736253867"
"17","25","0","5000","0.1","5","1","25","105","45","50","295141.00354702485","205924.4387335325"
"13","25","0","5000","0.1","5","1","25","105","45","50","246775.2900680502","210652.42564474104"
"19","25","0","5000","0.1","5","1","25","105","45","50","378372.6589926523","347663.2567125451"
"20","25","0","5000","0.1","5","1","25","105","45","50","248304.67511229208","213707.06064846698"
"23","25","0","5000","0.1","5","2","25","105","45","50","418107.6422081392","347997.3423356272"
"22","25","0","5000","0.1","5","2","25","105","45","50","382937.48098660534","303465.4191991373"
"21","25","0","5000","0.1","5","2","25","105","45","50","371199.54419369117","238930.5937770532"
"24","25","0","5000","0.1","5","2","25","105","45","50","390275.73697633186","345843.4450327601"
"27","25","0","5000","0.1","5","2","25","105","45","50","494831.41257767665","330200.9973098348"
"25","25","0","5000","0.1","5","2","25","105","45","50","401376.119568304","278934.7237453079"
"26","25","0","5000","0.1","5","2","25","105","45","50","453041.92171494017","198816.06844511128"
"30","25","0","5000","0.1","5","2","25","105","45","50","461356.690244671","281933.68380565225"
"29","25","0","5000","0.1","5","2","25","105","45","50","379602.49082358484","234604.99845266988"
"33","25","0","5000","0.1","5","3","25","105","45","50","525618.305336983","410845.42064654327"
"28","25","0","5000","0.1","5","2","25","105","45","50","418485.9497766217","311457.16644165973"
"31","25","0","5000","0.1","5","3","25","105","45","50","504877.00261297455","314615.0370080076"
"34","25","0","5000","0.1","5","3","25","105","45","50","656954.4541414387","402399.55891809065"
"32","25","0","5000","0.1","5","3","25","105","45","50","560429.5795523078","466246.2773015008"
"35","25","0","5000","0.1","5","3","25","105","45","50","541337.7285068798","321283.1958416436"
"36","25","0","5000","0.1","5","3","25","105","45","50","545640.5180491031","337219.560189135"
"37","25","0","5000","0.1","5","3","25","105","45","50","536475.1666411072","421492.6707851136"
"39","25","0","5000","0.1","5","3","25","105","45","50","636365.992246663","283217.9610313243"
"38","25","0","5000","0.1","5","3","25","105","45","50","549216.6522937272","327570.8208440696"
"40","25","0","5000","0.1","5","3","25","105","45","50","655805.4317832886","429815.04115428973"
"42","25","0","5000","0.1","5","4","25","105","45","50","567930.0850458278","316724.187670098"
"44","25","0","5000","0.1","5","4","25","105","45","50","546930.1540602144","327217.25062484795"
"45","25","0","5000","0.1","5","4","25","105","45","50","593507.7735231486","330149.91963038617"
"41","25","0","5000","0.1","5","4","25","105","45","50","495139.6161106696","295188.32277251524"
"43","25","0","5000","0.1","5","4","25","105","45","50","585361.5174257251","376926.2384195668"
"46","25","0","5000","0.1","5","4","25","105","45","50","552418.4439644024","300518.6590047403"
"48","25","0","5000","0.1","5","4","25","105","45","50","530389.4150497462","317229.7152137284"
"47","25","0","5000","0.1","5","4","25","105","45","50","570944.72392391","353842.4868532265"
