"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-10-4-2.nlogo"
"Figure 10.1.2"
"04/22/2025 02:27:19:289 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","sensing-radius","investors-color","businesses-color","failed-businesses-color","[step]","mean [wealth] of investors"
"5","25","0","5000","0.1","5","0","25","105","45","0","0"
"6","25","0","5000","0.1","5","0","25","105","45","0","0"
"7","25","0","5000","0.1","5","0","25","105","45","0","0"
"1","25","0","5000","0.1","5","0","25","105","45","0","0"
"3","25","0","5000","0.1","5","0","25","105","45","0","0"
"2","25","0","5000","0.1","5","0","25","105","45","0","0"
"8","25","0","5000","0.1","5","0","25","105","45","0","0"
"9","25","0","5000","0.1","5","0","25","105","45","0","0"
"4","25","0","5000","0.1","5","0","25","105","45","0","0"
"6","25","0","5000","0.1","5","0","25","105","45","1","5102.193947034792"
"5","25","0","5000","0.1","5","0","25","105","45","1","4657.641232525463"
"1","25","0","5000","0.1","5","0","25","105","45","1","4896.331520159363"
"8","25","0","5000","0.1","5","0","25","105","45","1","5511.1258634994"
"7","25","0","5000","0.1","5","0","25","105","45","1","5352.636031363521"
"3","25","0","5000","0.1","5","0","25","105","45","1","6479.8398820239445"
"9","25","0","5000","0.1","5","0","25","105","45","1","4548.840342596414"
"1","25","0","5000","0.1","5","0","25","105","45","2","9630.7719345606"
"6","25","0","5000","0.1","5","0","25","105","45","2","9821.92845259522"
"2","25","0","5000","0.1","5","0","25","105","45","1","5223.405332681243"
"7","25","0","5000","0.1","5","0","25","105","45","2","10705.272062727041"
"4","25","0","5000","0.1","5","0","25","105","45","1","6290.355763742354"
"5","25","0","5000","0.1","5","0","25","105","45","2","8496.46240932089"
"3","25","0","5000","0.1","5","0","25","105","45","2","12868.336035884053"
"1","25","0","5000","0.1","5","0","25","105","45","3","14446.157901840903"
"7","25","0","5000","0.1","5","0","25","105","45","3","16057.908094090557"
"2","25","0","5000","0.1","5","0","25","105","45","2","8973.493551250966"
"6","25","0","5000","0.1","5","0","25","105","45","3","13850.702544995547"
"9","25","0","5000","0.1","5","0","25","105","45","2","8774.910063111036"
"3","25","0","5000","0.1","5","0","25","105","45","3","19302.504053826084"
"7","25","0","5000","0.1","5","0","25","105","45","4","20009.474029314217"
"1","25","0","5000","0.1","5","0","25","105","45","4","17715.455006715823"
"4","25","0","5000","0.1","5","0","25","105","45","2","12580.711527484707"
"6","25","0","5000","0.1","5","0","25","105","45","4","17828.00434193014"
"9","25","0","5000","0.1","5","0","25","105","45","3","11657.268357357058"
"7","25","0","5000","0.1","5","0","25","105","45","5","19879.455548573183"
"8","25","0","5000","0.1","5","0","25","105","45","2","8459.241551270265"
"3","25","0","5000","0.1","5","0","25","105","45","4","25565.576683370495"
"2","25","0","5000","0.1","5","0","25","105","45","3","13460.24032687645"
"5","25","0","5000","0.1","5","0","25","105","45","3","12666.531885339311"
"1","25","0","5000","0.1","5","0","25","105","45","5","22144.318758394784"
"7","25","0","5000","0.1","5","0","25","105","45","6","23855.34665828782"
"6","25","0","5000","0.1","5","0","25","105","45","5","22285.00542741267"
"9","25","0","5000","0.1","5","0","25","105","45","4","11739.41795466179"
"2","25","0","5000","0.1","5","0","25","105","45","4","17520.199580765053"
"7","25","0","5000","0.1","5","0","25","105","45","7","27534.430907611204"
"1","25","0","5000","0.1","5","0","25","105","45","6","26573.18251007373"
"4","25","0","5000","0.1","5","0","25","105","45","3","14981.772123592795"
"3","25","0","5000","0.1","5","0","25","105","45","5","30224.36584896223"
"8","25","0","5000","0.1","5","0","25","105","45","3","12688.862326905399"
"9","25","0","5000","0.1","5","0","25","105","45","5","14674.272443327238"
"5","25","0","5000","0.1","5","0","25","105","45","4","15834.504433127411"
"6","25","0","5000","0.1","5","0","25","105","45","6","26742.006512895212"
"7","25","0","5000","0.1","5","0","25","105","45","8","31467.921037269953"
"2","25","0","5000","0.1","5","0","25","105","45","5","16818.496149374718"
"9","25","0","5000","0.1","5","0","25","105","45","6","17136.89369018324"
"1","25","0","5000","0.1","5","0","25","105","45","7","24763.15704792043"
"4","25","0","5000","0.1","5","0","25","105","45","4","16545.358938940593"
"8","25","0","5000","0.1","5","0","25","105","45","4","16918.483102540533"
