"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.1"
"04/21/2025 23:44:25:358 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [wealth] of investors","mean [profit] of turtles-on patches","mean [risk-of-failing] of turtles-on patches","total-business-failures"
"7","25","0","5000","0.1","1","25","105","15","9","50","274258.2914209867","9604.15726497395","0.021830277853955447","42"
"9","25","0","5000","0.1","1","25","105","15","9","50","296334.7152363378","8488.981526495092","0.02172758644462409","36"
"1","25","0","5000","0.1","1","25","105","15","9","50","317360.83053474023","9065.159844641747","0.024601947910684794","30"
"3","25","0","5000","0.1","1","25","105","15","9","50","276734.3952098798","7496.619126984791","0.02567037362479474","39"
"4","25","0","5000","0.1","1","25","105","15","9","50","415585.1736005867","12231.576366342411","0.024539429903483862","30"
"2","25","0","5000","0.1","1","25","105","15","9","50","381810.4829216432","9805.205905891129","0.024688964565849854","31"
"5","25","0","5000","0.1","1","25","105","15","9","50","273001.86437756976","7842.355183189194","0.018506903228482596","40"
"8","25","0","5000","0.1","1","25","105","15","9","50","322720.3383072945","8157.0223297782995","0.0225523870122565","24"
"6","25","0","5000","0.1","1","25","105","15","9","50","300512.22871141206","9090.731970949546","0.027977668629750083","37"
"10","25","0","5000","0.1","1","25","105","15","9","50","347721.7288655178","8842.585433287108","0.020220040549784442","32"
"13","25","0","5000","0.1","2","25","105","15","9","50","255561.36440230263","6623.809761955975","0.02060106860772315","37"
"14","25","0","5000","0.1","2","25","105","15","9","50","296500.2127429958","7829.298886282677","0.023510746019598076","29"
"11","25","0","5000","0.1","2","25","105","15","9","50","296514.62042430375","8472.548886500677","0.02799359918197184","40"
"12","25","0","5000","0.1","2","25","105","15","9","50","332347.3987642533","8618.026348160303","0.025323391798203743","39"
"15","25","0","5000","0.1","2","25","105","15","9","50","294806.9202398621","7544.437828298093","0.02244336179040839","37"
