"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.2"
"04/21/2025 23:45:31:464 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [risk-of-failing] of turtles-on patches"
"5","25","0","5000","0.1","1","25","105","15","9","0","0.054261650358747957"
"6","25","0","5000","0.1","1","25","105","15","9","0","0.05065791365237326"
"8","25","0","5000","0.1","1","25","105","15","9","0","0.05065710482416131"
"3","25","0","5000","0.1","1","25","105","15","9","0","0.04361543485684373"
"6","25","0","5000","0.1","1","25","105","15","9","1","0.05455659308805262"
"9","25","0","5000","0.1","1","25","105","15","9","0","0.0442516930954938"
"1","25","0","5000","0.1","1","25","105","15","9","0","0.04605867874158754"
"4","25","0","5000","0.1","1","25","105","15","9","0","0.04132953821468211"
"7","25","0","5000","0.1","1","25","105","15","9","0","0.05678550864574262"
"9","25","0","5000","0.1","1","25","105","15","9","1","0.04512018662840623"
"3","25","0","5000","0.1","1","25","105","15","9","1","0.05326446150564918"
"8","25","0","5000","0.1","1","25","105","15","9","1","0.04391717308344064"
"2","25","0","5000","0.1","1","25","105","15","9","0","0.04679057879332439"
"5","25","0","5000","0.1","1","25","105","15","9","1","0.056678682414805864"
"6","25","0","5000","0.1","1","25","105","15","9","2","0.05300238668838859"
"9","25","0","5000","0.1","1","25","105","15","9","2","0.0468960380443047"
"3","25","0","5000","0.1","1","25","105","15","9","2","0.04652060018941073"
"5","25","0","5000","0.1","1","25","105","15","9","2","0.05005378427819852"
"6","25","0","5000","0.1","1","25","105","15","9","3","0.04962034181121705"
"8","25","0","5000","0.1","1","25","105","15","9","2","0.0463959660760187"
"7","25","0","5000","0.1","1","25","105","15","9","1","0.04286361167408282"
"6","25","0","5000","0.1","1","25","105","15","9","4","0.046069653715027276"
"3","25","0","5000","0.1","1","25","105","15","9","3","0.046165805566345815"
"9","25","0","5000","0.1","1","25","105","15","9","3","0.04653574279756612"
"7","25","0","5000","0.1","1","25","105","15","9","2","0.039700080092994805"
"5","25","0","5000","0.1","1","25","105","15","9","3","0.04716243758141106"
"6","25","0","5000","0.1","1","25","105","15","9","5","0.04406469953675337"
"1","25","0","5000","0.1","1","25","105","15","9","1","0.04456407304444156"
"3","25","0","5000","0.1","1","25","105","15","9","4","0.045595993579567534"
"6","25","0","5000","0.1","1","25","105","15","9","6","0.04072729958220931"
"9","25","0","5000","0.1","1","25","105","15","9","4","0.042260548856389295"
"8","25","0","5000","0.1","1","25","105","15","9","3","0.05041915495584271"
"5","25","0","5000","0.1","1","25","105","15","9","4","0.047761752816898186"
"6","25","0","5000","0.1","1","25","105","15","9","7","0.04193310099985753"
"2","25","0","5000","0.1","1","25","105","15","9","1","0.052683668358056976"
"1","25","0","5000","0.1","1","25","105","15","9","2","0.04809287819268874"
"7","25","0","5000","0.1","1","25","105","15","9","3","0.04067838643630505"
"3","25","0","5000","0.1","1","25","105","15","9","5","0.040825301206811"
"2","25","0","5000","0.1","1","25","105","15","9","2","0.045363706974401674"
"8","25","0","5000","0.1","1","25","105","15","9","4","0.04992055258239244"
"5","25","0","5000","0.1","1","25","105","15","9","5","0.04060256819391304"
"9","25","0","5000","0.1","1","25","105","15","9","5","0.04014601198404998"
"4","25","0","5000","0.1","1","25","105","15","9","1","0.043534373723191196"
"9","25","0","5000","0.1","1","25","105","15","9","6","0.04104644986953223"
"7","25","0","5000","0.1","1","25","105","15","9","4","0.038433053358314796"
"1","25","0","5000","0.1","1","25","105","15","9","3","0.04459110888007347"
"4","25","0","5000","0.1","1","25","105","15","9","2","0.045823580426626626"
"9","25","0","5000","0.1","1","25","105","15","9","7","0.043847718903227494"
"6","25","0","5000","0.1","1","25","105","15","9","8","0.04077056236374645"
"2","25","0","5000","0.1","1","25","105","15","9","3","0.03891872938266902"
"5","25","0","5000","0.1","1","25","105","15","9","6","0.04354960028880008"
"4","25","0","5000","0.1","1","25","105","15","9","3","0.045015521665311836"
"9","25","0","5000","0.1","1","25","105","15","9","8","0.03999438827990938"
"1","25","0","5000","0.1","1","25","105","15","9","4","0.04861500814147205"
"8","25","0","5000","0.1","1","25","105","15","9","5","0.04475203092343282"
"3","25","0","5000","0.1","1","25","105","15","9","6","0.04459927642884374"
"7","25","0","5000","0.1","1","25","105","15","9","5","0.03708972571726731"
"6","25","0","5000","0.1","1","25","105","15","9","9","0.04302485899429052"
"2","25","0","5000","0.1","1","25","105","15","9","4","0.04381463652317542"
"6","25","0","5000","0.1","1","25","105","15","9","10","0.03943869959675112"
"5","25","0","5000","0.1","1","25","105","15","9","7","0.04355413395151392"
"1","25","0","5000","0.1","1","25","105","15","9","5","0.047356562512776874"
"9","25","0","5000","0.1","1","25","105","15","9","9","0.04226900336077751"
"5","25","0","5000","0.1","1","25","105","15","9","8","0.043886669536753166"
"6","25","0","5000","0.1","1","25","105","15","9","11","0.03608615781842897"
"2","25","0","5000","0.1","1","25","105","15","9","5","0.04073009663860625"
"4","25","0","5000","0.1","1","25","105","15","9","4","0.03911415362463881"
"3","25","0","5000","0.1","1","25","105","15","9","7","0.04580342458216032"
"7","25","0","5000","0.1","1","25","105","15","9","6","0.041288494662482425"
"8","25","0","5000","0.1","1","25","105","15","9","6","0.040438425027870484"
"9","25","0","5000","0.1","1","25","105","15","9","10","0.03890899278484658"
"1","25","0","5000","0.1","1","25","105","15","9","6","0.04587439047966569"
"7","25","0","5000","0.1","1","25","105","15","9","7","0.03951085380703913"
"4","25","0","5000","0.1","1","25","105","15","9","5","0.040429426472098684"
"6","25","0","5000","0.1","1","25","105","15","9","12","0.035880203678861605"
"5","25","0","5000","0.1","1","25","105","15","9","9","0.0371134860555348"
"2","25","0","5000","0.1","1","25","105","15","9","6","0.045454763935272216"
"3","25","0","5000","0.1","1","25","105","15","9","8","0.03824925543491061"
"8","25","0","5000","0.1","1","25","105","15","9","7","0.04066467124674164"
"5","25","0","5000","0.1","1","25","105","15","9","10","0.035891778970936504"
"9","25","0","5000","0.1","1","25","105","15","9","11","0.03190847132834378"
"1","25","0","5000","0.1","1","25","105","15","9","7","0.044183315046058734"
